OverallQual,OverallCond,YearBuilt,BsmtFinSF1,GrLivArea,BedroomAbvGr,GarageArea,SalePrice
7,5,2003,706,1710,3,548,208500
6,8,1976,978,1262,3,460,181500
7,5,2001,486,1786,3,608,223500
7,5,1915,216,1717,3,642,140000
8,5,2000,655,2198,4,836,250000
5,5,1993,732,1362,1,480,143000
8,5,2004,1369,1694,3,636,307000
7,6,1973,859,2090,3,484,200000
7,5,1931,0,1774,2,468,129900
5,6,1939,851,1077,2,205,118000
5,5,1965,906,1040,3,384,129500
9,5,2005,998,2324,4,736,345000
5,6,1962,737,912,2,352,144000
7,5,2006,0,1494,3,840,279500
6,5,1960,733,1253,2,352,157000
7,8,1929,0,854,2,576,132000
6,7,1970,578,1004,2,480,149000
4,5,1967,0,1296,2,516,90000
5,5,2004,646,1114,3,576,159000
5,6,1958,504,1339,3,294,139000
8,5,2005,0,2376,4,853,325300
7,7,1930,0,1108,3,280,139400
8,5,2002,0,1795,3,534,230000
5,7,1976,840,1060,3,572,129900
5,8,1968,188,1060,3,270,154000
8,5,2007,0,1600,3,890,256300
5,7,1951,234,900,3,576,134800
8,5,2007,1218,1704,3,772,306000
5,6,1957,1277,1600,2,319,207500
4,6,1927,0,520,1,240,68500
4,4,1920,0,1317,3,250,40000
5,6,1966,0,1228,3,271,149350
8,5,2007,0,1234,3,484,179900
5,5,1959,1018,1700,4,447,165500
9,5,2005,1153,1561,2,556,277500
8,5,2004,0,2452,4,691,309000
5,5,1994,0,1097,3,672,145000
5,6,1954,1213,1297,3,498,153000
5,7,1953,731,1057,3,246,109000
4,5,1955,0,1152,2,0,82000
6,5,1965,643,1324,3,440,160000
5,6,1959,967,1328,2,308,170000
5,7,1983,747,884,2,504,144000
5,6,1975,280,938,3,308,130250
5,6,1959,179,1150,3,300,141000
9,5,2005,456,1752,2,576,319900
7,5,2003,1351,2149,1,670,239686
8,5,2006,24,1656,3,826,249700
4,5,1920,0,1452,2,0,113000
5,7,1966,763,955,3,386,127000
6,6,1997,182,1470,3,388,177000
6,6,1934,0,1176,3,528,114500
5,5,1963,104,816,2,516,110000
9,5,1981,1810,1842,0,894,385000
5,5,1955,384,1360,3,572,130000
6,5,1964,490,1425,3,576,180500
8,5,1999,649,1739,3,480,172500
7,5,2004,0,1720,3,565,196500
10,5,2006,0,2945,3,641,438780
5,7,1972,632,780,2,352,124900
6,5,2004,941,1158,3,576,158000
5,7,1920,0,1111,3,288,101000
8,5,2006,24,1370,2,484,202500
7,6,1921,0,1710,3,480,140000
7,5,1997,739,2034,3,645,219500
8,5,2004,0,2473,4,852,317000
7,5,1970,912,2207,3,576,180000
7,5,2003,1013,1479,3,558,226000
4,6,1945,0,747,2,220,80000
7,4,1953,603,2287,3,667,225000
7,6,1973,1880,2223,3,516,244000
4,6,1982,565,845,2,360,129500
7,5,1998,0,1718,3,427,185000
5,7,1954,320,1086,3,490,144900
3,6,1915,0,1605,3,379,107400
4,5,1973,462,988,2,297,91000
4,7,1956,228,952,2,283,135750
5,5,1948,336,1285,2,240,127000
4,5,1968,0,1768,4,0,136500
5,6,1910,0,1230,2,440,110000
6,6,1968,448,2142,4,509,193500
6,5,1998,1201,1337,2,405,153500
8,5,2007,33,1563,3,758,245000
5,5,1960,0,1065,3,461,126500
7,5,1995,0,1474,3,400,168500
8,5,1991,0,2417,4,462,260000
6,5,2005,0,1560,3,400,174000
6,5,2009,0,1224,2,528,164500
3,2,1915,0,1526,2,0,85000
4,5,1994,588,990,3,0,123600
4,5,1950,0,1040,2,420,109900
5,3,1961,600,1235,2,480,98600
5,7,1921,713,964,2,432,163500
6,6,1910,1046,2291,4,506,133900
6,5,1997,648,1786,3,684,204750
6,8,1993,310,1470,3,420,185000
7,5,1999,1162,1588,3,472,214000
4,5,1965,520,960,3,432,94750
5,5,1920,108,835,2,366,83000
4,5,1959,569,1225,3,0,128950
6,7,1977,1200,1610,3,480,205000
6,5,1985,0,1732,3,476,178000
5,5,1979,0,1535,4,410,118964
7,5,2009,0,1226,3,740,198900
7,4,1931,224,1818,4,240,169500
8,5,2003,0,1992,3,648,250000
4,7,1885,0,1047,2,273,100000
5,5,1948,104,789,2,250,115000
5,7,1919,0,1517,3,0,115000
6,6,1977,705,1844,3,546,190000
6,4,1954,444,1855,4,325,136900
7,5,2000,250,1430,3,400,180000
7,5,2007,984,2696,4,792,383970
6,5,1953,35,2259,3,450,217000
6,8,1945,774,2320,3,180,259500
6,5,1999,419,1458,2,440,176000
5,5,1962,170,1092,3,288,139000
5,5,2006,0,1125,2,430,155000
7,5,1990,1470,3222,5,594,320000
6,5,2005,0,1456,3,390,163990
6,5,1969,938,988,1,540,180000
4,5,1939,0,1123,3,264,100000
6,7,1958,570,1080,3,288,136000
6,5,1993,300,1199,2,530,153900
6,5,1979,0,1586,3,435,181000
6,8,1935,490,754,2,0,84500
6,5,1976,120,958,2,440,128000
5,7,1930,116,840,3,0,87000
6,5,1966,512,1348,3,453,155000
5,7,1958,567,1053,3,750,150000
7,6,1966,445,2157,4,487,226000
6,5,2000,695,2054,3,390,244000
5,6,1959,405,1327,3,624,150750
8,5,2001,1005,1296,2,471,220000
5,6,1968,570,1721,3,440,180000
7,6,1970,0,1682,3,530,174000
5,5,1967,695,1214,3,318,143000
7,5,1988,0,1959,5,766,171000
8,5,1999,668,1852,3,660,230000
6,5,1997,821,1764,3,470,231500
4,5,1971,432,864,3,0,115000
7,5,2005,1300,1734,3,660,260000
5,4,1952,507,1385,4,720,166000
7,5,1999,679,1501,3,577,204000
5,5,1963,1332,1728,6,504,125000
6,5,2004,0,1709,3,380,130000
5,7,1931,209,875,2,180,105000
7,5,2001,0,2035,3,434,222500
7,5,2004,680,1080,3,0,141000
5,4,1936,0,1344,3,240,115000
5,6,1975,716,969,3,440,122000
8,5,2007,1400,1710,2,866,372402
6,5,1971,416,1993,4,495,190000
6,7,1960,429,1252,1,564,235000
6,5,1923,0,1200,4,312,125000
6,5,1924,0,1096,2,0,79000
5,7,1950,0,1040,2,625,109500
8,5,2009,0,1968,4,680,269500
7,5,2004,222,1947,3,678,254900
7,5,2005,57,2462,4,576,320000
6,6,1984,660,1232,3,516,162500
9,5,2003,1016,2668,3,726,412500
7,5,2005,1201,1541,3,532,220000
4,6,1956,0,882,1,0,103200
6,7,1926,370,1616,3,216,152000
5,7,1940,351,1355,4,0,127500
5,5,1955,379,1867,2,303,190000
8,5,2007,1288,2161,3,789,325624
7,5,2004,0,1720,3,440,183500
8,6,1981,0,1707,2,511,228000
5,6,1941,360,1382,2,660,128500
6,5,1960,639,1656,3,528,215000
7,7,1987,495,1767,2,504,239000
6,5,1961,288,1362,3,504,163000
6,5,1986,1398,1651,3,616,184000
6,7,1950,477,2158,4,576,243000
6,5,1988,831,2060,4,521,211000
5,5,1958,57,1920,4,451,172500
9,5,2008,1904,2234,1,1166,501837
5,6,1923,0,968,2,480,100000
6,5,2000,436,1525,3,440,177000
7,6,1920,352,1802,4,216,200100
5,6,1957,0,1340,3,252,120000
7,5,2003,0,2082,3,484,200000
5,8,1908,0,1252,3,576,127000
10,9,1892,0,3608,4,840,475000
7,5,1990,611,1217,3,497,173000
5,7,1916,0,1656,3,180,135000
5,5,1979,1086,1224,2,528,153337
8,5,2001,1153,1593,0,682,286000
8,8,1932,297,2727,3,440,315000
7,9,1972,626,1479,4,484,184000
7,5,1999,560,1431,3,666,192000
7,5,2004,0,1709,3,380,130000
5,7,1972,390,864,3,352,127000
6,6,1976,566,1456,3,440,148500
7,5,2007,1126,1726,3,786,311872
8,4,1918,1036,3112,4,795,235000
6,6,1912,0,2229,5,0,104000
8,5,2004,1088,1713,3,856,274900
4,5,2003,0,1121,2,440,140000
6,6,1977,641,1279,3,473,171500
6,6,1924,617,1310,2,398,112000
6,5,2004,662,848,1,420,149000
5,7,1947,312,1284,2,240,110000
7,5,1990,0,1442,3,500,180500
5,5,1962,0,1696,3,349,143900
4,5,1960,419,1100,3,312,141000
7,5,1988,1065,2062,3,454,277000
6,7,1964,787,1092,3,504,145000
5,6,1925,468,864,2,0,98000
6,5,2009,36,1212,3,460,186000
7,5,2009,822,1852,3,644,252678
5,5,1995,716,990,3,576,156000
6,7,1977,378,1392,3,299,161750
5,6,1957,360,1236,2,447,134450
7,5,2004,946,1436,3,484,210000
4,4,1925,0,1328,3,210,107000
7,9,1939,341,1954,3,431,311500
7,5,2005,16,1248,2,438,167240
7,5,2006,0,1498,2,675,204900
6,5,2002,0,2267,4,390,200000
6,6,1975,550,1552,3,434,179900
4,6,1971,524,864,2,576,97000
10,5,2003,56,2392,3,968,386250
5,5,1971,0,1302,3,280,112000
7,5,1995,565,2520,4,721,290000
6,6,1970,321,987,2,280,106000
5,5,1967,842,912,3,336,125000
7,5,2005,16,1555,2,430,192500
6,6,1959,0,1194,3,312,148000
8,5,1995,689,2794,4,810,403000
6,5,1972,0,987,2,288,94500
5,6,1976,182,894,3,308,128200
6,5,2002,625,1960,4,440,216500
6,3,1971,358,987,2,264,89500
7,5,2004,24,1414,3,494,185500
7,7,1993,402,1744,3,457,194500
8,5,2007,0,1694,3,818,318000
6,4,1945,94,1487,3,220,113000
8,5,2008,1078,1566,3,750,262500
5,9,1945,329,866,2,0,110500
5,4,1900,0,1440,3,352,79000
6,6,1980,0,1217,3,288,120000
7,5,1994,695,2110,3,463,205000
7,5,1988,929,1872,3,604,241500
6,8,1910,0,1928,4,440,137000
6,5,1954,0,1375,2,451,140000
7,5,2003,0,1668,3,500,180000
6,7,1958,697,2144,4,389,277000
3,2,1940,0,1306,3,0,76500
8,5,2006,1573,1625,2,538,235000
6,5,2004,0,1640,3,520,173000
6,7,1964,270,1302,3,309,158000
5,6,1957,922,1314,3,294,145000
7,5,1999,0,2291,4,429,230000
6,5,2003,503,1728,3,673,207500
7,5,2006,1334,1604,3,660,220000
7,5,2001,361,1792,3,564,231500
5,5,1956,0,882,2,308,97000
6,5,1962,672,1382,3,884,176000
8,5,2007,0,2574,3,868,276000
6,7,1977,506,1212,3,492,151000
5,7,1929,234,1316,3,484,130000
5,5,1925,0,764,2,504,73000
6,6,1981,588,1422,3,576,175500
6,5,1997,714,1511,3,413,185000
5,8,1939,378,2192,4,240,179500
5,6,1940,403,778,2,924,120500
6,7,1976,751,1113,3,504,148000
8,5,2006,0,1939,3,1053,266000
7,7,1954,226,1363,2,439,241500
8,7,1999,524,2270,4,671,290000
6,6,1958,620,1632,3,338,139000
5,7,1982,546,816,2,264,124500
7,7,1925,0,1548,3,672,205000
7,5,2003,0,1560,3,573,201000
4,5,1951,120,864,2,400,141000
9,5,2006,0,2121,3,732,415298
7,5,1977,392,2022,4,505,192000
7,6,1989,421,1982,3,575,228500
6,5,2006,905,1262,2,572,185000
7,5,2007,904,1314,2,626,207500
8,5,2008,0,1468,3,898,244600
6,5,1992,430,1575,2,529,179200
7,5,2006,0,1250,2,528,164700
6,7,1962,600,1734,3,440,159000
4,4,1971,614,858,3,0,88000
5,5,1967,450,900,3,280,122000
6,7,1915,0,1396,3,384,153575
8,5,2006,0,1919,3,685,233230
5,6,1912,210,1716,6,0,135900
5,4,1949,292,1716,3,281,131000
7,7,1977,795,2263,3,539,235000
6,5,1953,1285,1644,3,418,167000
6,6,1984,819,1003,3,588,142500
5,5,1950,420,1558,4,282,152000
7,5,1997,649,1950,3,576,239000
6,6,1968,384,1743,3,539,175000
6,8,1950,0,1152,3,300,158500
5,5,1953,841,1336,2,375,157000
8,5,1998,281,2452,4,683,267000
7,5,2001,0,1541,3,843,205000
5,7,1972,894,894,3,552,149900
7,9,1880,0,3493,3,870,295000
